ID,Dataset Name,Audio Path,CSV Path,Total Size,Type,Time Duration,Hugging Face
1,"{\"nepali_data\": [\"spktsagar/openslr-nepali-asr-cleaned\"], \"english_data\": [\"openslr/librispeech_asr\"]}", "/home/oem/wiseyak/aakriti/Mixed_clips", "/home/oem/wiseyak/aakriti/Merging_audio/merged_audio.csv", 90666, ASR, 18-25 sec, Wiseyak/ds_1_ASR
2,"{\"nepali_11\": [\"mozilla-foundation/common_voice_11_0\", \"ne-NP\"], \"nepali_16\": [\"mozilla-foundation/common_voice_16_0\", \"ne-NP\"], \"hindi_11\": [\"mozilla-foundation/common_voice_11_0\", \"hi\"], \"hindi_16\": [\"mozilla-foundation/common_voice_16_0\", \"hi\"], \"english_11\": [\"mozilla-foundation/common_voice_11_0\", \"en\"]}", "/home/oem/wiseyak/aakriti/mixed6/mixed_clips", null, 99546, ASR, 18-25 sec, Wiseyak/ds_2_ASR
3,"{\"nepali\": [\"mozilla-foundation/common_voice_12_0\", \"ne-NP\"], \"hindi\": [\"mozilla-foundation/common_voice_12_0\", \"hi\"], \"english\": [\"mozilla-foundation/common_voice_16_0\", \"ne-NP\"]}", "/home/bumblebee/wiseyak_backup/aakriti/aakriti/common_mixed_clips", "/home/bumblebee/wiseyak_backup/aakriti/aakriti/common_mixed_clips", 1010, ASR, 18-25 sec, Wiseyak/ds_3_ASR
4,"{\"nepali\": [\"RikeshSilwal/speecht5_tts_nepali_slr43_slr143_slr54_filtered_CLEANED_slr43\"], \"hindi\": [\"skywalker290/Hindi_TTS_M\"], \"english\": [\"Flux9665/BibleMMS\"]}", "/home/bumblebee/wiseyak_backup/aakriti/aakriti/tts(3)mixed_clips", "/home/bumblebee/wiseyak_backup/aakriti/aakriti/tts(3)mixed_clips/Amixed_clips_metadata.csv", 7962, TTS, 18-25 sec, Wiseyak/ds_4_TTS
5,"{\"global\":\"/home/oem/wiseyak_backup/global_audio_data/global_more_text_total_duration_32160.csv\"}", "/home/bumblebee/wiseyak_backup/aakriti/aakriti/tts(3)mixed_clips", "/home/oem/wiseyak_backup/Aakriti/Global", 1095, Global, 12-22 sec, null
6,"{\"Binit_global_remaining_chunked\": \"/home/oem/wiseyak_backup/global_audio_data\"}", "/home/oem/wiseyak_backup/global_audio_data/mixed_clips/audio", "/home/oem/wiseyak_backup/global_audio_data/mixed_clips/metadata.csv", 5203, Global, 18-25 sec, null
7,"{\"Annotation_Audio\": \"/home/oem/wiseyak_backup/global_audio_data/Aakriti/annotation_wiseyak\"}", "/home/oem/wiseyak_backup/global_audio_data/Aakriti/Annotation_audio_files", "/home/oem/wiseyak_backup/global_audio_data/Aakriti/Annotation_metadata.csvs", 193, Annotation, 18-25 sec, null
8,"{\"Binit_global_remaining_chunked\": \"/home/oem/wiseyak_backup/global_audio_data/Aakriti/global_ime.csv\"}", "/home/oem/wiseyak_backup/global_audio_data/Aakriti/Global_audio_files", "/home/oem/wiseyak_backup/global_audio_data/Aakriti/Global_5_18metadat.csv", 30424, Global, 18-25 sec, null
